MAC,STATE,DEVICE,WI-FI,OS,PHONE,TIME,NOTES
7C:A8:CA:2F:D4:7D,<unknown>,iPhone 11 Pro Max,Off,iOS13,,1647687310,
51:2B:8B:10:D3:B9,<unknown>,Apple Watch SE 40mm case (GPS),<unknown>,WatchOS,,1647687940,
41:21:CF:47:63:C4,<unknown>,iPhone 7,Off,iOS12,,1647688100,
7F:E7:A3:DC:A3:68,<unknown>,iPhone 12 Mini,,,,1647688101,
46:EB:92:2B:A6:FC,Video,iPad Pro 10.5-inch,Off,iOS12,,1647688262,
40:EC:E1:99:49:40,<unknown>,iPhone 11 Pro,On,iOS13,,1647688480,
62:C6:84:68:BD:46,Idle, ,<unknown>,WatchOS,,1648200829,
50:86:99:E5:7D:6E,<unknown>, ,,,,1648200830,
62:F9:B5:32:C7:D3,Idle, ,<unknown>,iOS10,,1648200832,
50:8B:06:4C:00:E6,<unknown>, ,,,,1648200835,
39:58:38:5B:CB:7B,AirDrop, ,,,,1648200836,phone:078e
48:69:FF:63:D4:4F,Home screen, ,On,iOS12,,1648200837,
